city,location
186,Point(77.1 31.96)
187,Point(-79.53 9.08)
188,Point(45.183333333 54.183333333)
189,Point(-0.1275 51.507222222)
190,Point(-135.055833333 60.717222222)
191,Point(-99.233333333 19.483333333)
192,Point(-122.33207 47.60621)
193,Point(77.38 15.17)
194,Point(-79.766666666 43.683333333)
195,Point(137.083333333 34.966666666)
196,Point(26.559444444 41.678055555)
197,Point(-122.200555555 47.963333333)
198,Point(123.95124 47.33981)
199,Point(130.691388888 33.645833333)
200,Point(131.00635 45.76802)
201,Point(108.209722222 16.069444444)
202,Point(118.049722 36.783056)
203,Point(-46.835833333 -23.522777777)
204,Point(19.166666666 50.3)
205,Point(134.841388888 34.756944444)
206,Point(10.383333333 55.4)
207,Point(127.721944444 26.245833333)
208,Point(-50.411944444 -22.661944444)
209,Point(-119.1825 34.191388888)
210,Point(97.150555555 5.18)
211,Point(-58.566666666 -34.65)
212,Point(68.41 26.244166666)
213,Point(-80.313611111 26.0125)
214,Point(52.5425 29.61)
215,Point(69.3 28.4)
216,Point(112.58568 26.89676)
217,Point(-76.5 44.233333333)
218,Point(67.278333333 37.224166666)
219,Point(139.529722222 35.758055555)
220,Point(27.91108 43.211375)
221,Point(86.183333333 22.8)
222,Point(-83.583333333 41.666666666)
223,Point(99.06 2.96)
224,Point(7.0 4.75)
225,Point(-99.177777777 18.881388888)
226,Point(126.521944444 33.509722222)
227,Point(-117.123611111 33.503333333)
228,Point(105.73115 34.58093)
229,Point(9.2786 47.3851)
230,Point(130.416666666 33.6)
231,Point(31.691666666 26.560555555)
232,Point(-100.401666666 25.664166666)
233,Point(126.98079 46.6384)
234,Point(121.15463 30.037195)
235,Point(-41.112777777 -20.848888888)
236,Point(10.328 44.801472222)
237,Point(-102.063055555 19.421111111)
238,Point(9.99155 48.39841)
239,Point(151.75 -32.916666666)
240,Point(120.09581 30.86945)
241,Point(24.375555555 45.104722222)
242,Point(6.930555555 46.990277777)
243,Point(7.816666666 51.666666666)
244,Point(74.533333333 32.5)
245,Point(-2.991944444 53.4075)
246,Point(139.774444 35.683889)
247,Point(-77.533333333 -9.533333333)
248,Point(3.058611111 36.776388888)
249,Point(110.7755 32.63507)
250,Point(-55.166666666 5.866666666)
251,Point(15.55188 41.45845)
252,Point(2.297777777 49.891944444)
253,Point(140.316666666 35.783333333)
254,Point(19.831666666 45.264444444)
255,Point(-115.146666666 36.228611111)
256,Point(138.3825 34.975555555)
257,Point(58.383333333 37.95)
258,Point(-43.371944444 -22.803888888)
259,Point(7.099722222 50.733888888)
260,Point(88.35 22.67)
261,Point(50.878888888 34.646111111)
262,Point(-98.8975 19.264722222)
263,Point(59.219444444 35.273888888)
264,Point(7.083333333 51.166666666)
265,Point(-97.122839 32.705033)
266,Point(114.02528 32.97729)
267,Point(24.616916 43.413188)
268,Point(-58.5 -34.68333333)
269,Point(114.6418 33.62502)
270,Point(41.116666666 45.0)
271,Point(106.93363 27.70498)
272,Point(-72.338611111 18.5425)
273,Point(111.19497 34.77362)
274,Point(130.36531 46.80808)
275,Point(-120.994444444 37.661388888)
276,Point(140.000833333 35.776944444)
277,Point(-58.65 -34.65)
278,Point(59.95 56.916666666)
279,Point(113.35 22.533333333)
280,Point(34.8338 32.08074)
281,Point(118.009722222 34.342222222)
282,Point(7.5375 47.208055555)
283,Point(93.95 24.82)
284,Point(113.1309 29.36472)
285,Point(-7.383333333 33.683333333)
286,Point(-16.076388888 14.138888888)
287,Point(-37.28 -7.024444444)
288,Point(48.47 29.98)
289,Point(115.858888888 -31.952222222)
290,Point(-86.279166666 32.361666666)
291,Point(22.295 48.623888888)
292,Point(20.971388888 42.010277777)
293,Point(-92.012649 30.243062)
294,Point(75.566666666 21.016666666)
295,Point(53.383333333 35.583333333)
296,Point(120.713611111 36.975833333)
297,Point(3.0575 50.631944444)
298,Point(10.521111111 52.269166666)
299,Point(39.826111111 21.4225)
300,Point(18.616666666 53.016666666)
301,Point(117.28083 31.86389)
302,Point(2.176944444 41.3825)
303,Point(-1.257777777 51.751944444)
304,Point(37.216388888 19.615833333)
305,Point(-64.731111111 -21.531666666)
306,Point(100.516666666 13.866666666)
307,Point(-47.383888888 -22.356944444)
308,Point(110.482355555 22.516758333)
309,Point(88.4 22.61)
310,Point(-83.0475 42.331666666)
311,Point(100.3292 5.4145)
312,Point(27.884166666 39.651111111)
313,Point(37.466666666 12.6)
314,Point(-8.516666666 41.416666666)
315,Point(16.181666666 54.190277777)
316,Point(28.051666666 -26.107)
317,Point(119.859444444 -0.895)
318,Point(32.899730555 24.088919444)
319,Point(40.742222222 36.511666666)
320,Point(79.15 18.43333333)
321,Point(101.69 2.93)
322,Point(136.683888888 35.062222222)
323,Point(-73.5167 45.5333)
324,Point(141.488333333 40.512222222)
325,Point(-74.006015 40.712728)
326,Point(149.126944444 -35.293055555)
327,Point(-49.271944444 -25.429722222)
328,Point(106.750277777 22.100555555)
329,Point(34.807777777 31.891388888)
330,Point(-64.9 -14.833333333)
331,Point(-78.644722222 35.818888888)
332,Point(-8.42 41.550277777)
333,Point(50.0041 36.26877)
334,Point(-57.087777777 -29.755)
335,Point(146.815833333 -19.262222222)
336,Point(34.988611111 31.751388888)
337,Point(7.849722222 47.994722222)
338,Point(39.7225 41.005)
339,Point(-122.328 49.054611111)
340,Point(116.84519 38.30369)
341,Point(-99.539722222 18.344722222)
342,Point(-99.1284 19.68676)
343,Point(106.36944 39.00985)
344,Point(-2.1 57.15)
345,Point(-4.883441666 36.511363888)
346,Point(112.236111111 30.324444444)
347,Point(105.28627 27.30193)
348,Point(23.274722222 45.034166666)
349,Point(-16.5 16.033333333)
350,Point(84.866666666 27.0)
351,Point(121.14087 28.85229)
352,Point(77.546 29.964)
353,Point(100.516666666 13.75)
354,Point(113.02667 25.79893)
355,Point(36.75 35.133333333)
356,Point(-75.885555555 8.76)
357,Point(-71.633333333 10.633333333)
358,Point(139.375833333 36.291666666)
359,Point(-104.843888888 39.596388888)
360,Point(99.16905 25.12105)
361,Point(-13.667222 13.768889)
362,Point(30.216666666 13.183333333)
363,Point(24.93417 60.17556)
364,Point(135.423611111 34.483611111)
365,Point(64.428611111 39.774722222)
366,Point(8.533333333 52.016666666)
367,Point(112.906477777 -7.640622222)
368,Point(35.483333333 33.366666666)
369,Point(139.8725 35.830277777)
370,Point(89.55 22.816666666)
371,Point(75.066666666 23.316666666)
372,Point(117.78 35.91)
373,Point(15.25 52.733333333)
374,Point(72.83 21.17)
375,Point(41.275555555 39.909722222)
376,Point(112.433611111 -7.472222222)
377,Point(-94.560555555 18.017222222)
378,Point(-89.384166666 43.074722222)
379,Point(-43.040833333 -22.652777777)
380,Point(139.9825 35.694722222)
381,Point(112.42923 39.34078)
382,Point(103.95988 22.51179)
383,Point(8.933983333 44.407186111)
384,Point(139.522222222 36.065833333)
385,Point(128.896111111 37.755555555)
386,Point(-49.066944444 -26.485833333)
387,Point(-1.535277777 12.357222222)
388,Point(139.836388888 38.914444444)
389,Point(-71.433333333 10.4)
390,Point(-66.933333333 10.5)
391,Point(-51.178888888 -29.167777777)
392,Point(31.2118 29.987)
393,Point(68.867286111 27.699522222)
394,Point(117.48487 30.65826)
395,Point(125.197777777 1.447222222)
396,Point(-96.633333333 33.2)
397,Point(103.75755 29.5854)
398,Point(37.266666666 -1.516666666)
399,Point(-159.771 -21.207)
400,Point(135.561722222 34.735777777)
401,Point(104.764514 29.349842)
402,Point(88.45 22.7)
403,Point(119.1 36.716666666)
404,Point(-49.060555555 -22.314722222)
405,Point(28.366666666 37.216666666)
406,Point(121.539722222 31.223055555)
407,Point(74.623888888 24.889444444)
408,Point(77.416666666 23.25)
409,Point(-112.2 33.583333333)
410,Point(-39.741944444 -17.535)
411,Point(101.533333333 3.083333333)
412,Point(-1.0876 51.2667)
413,Point(-76.203205555 -13.709980555)
414,Point(39.85 57.616666666)
415,Point(-100.28333333 25.75)
416,Point(120.65263 27.778)
417,Point(35.325 37.0)
418,Point(28.733055555 -9.317222222)
419,Point(41.133333333 37.883333333)
420,Point(39.316666666 37.75)
421,Point(50.864444444 32.325555555)
422,Point(-76.519722222 3.44)
423,Point(104.1766 36.5448)
424,Point(40.737777777 37.316666666)
425,Point(-79.683333333 43.45)
426,Point(2.233333333 41.433333333)
427,Point(-73.0503 -36.8271)
428,Point(38.466666666 7.05)
429,Point(104.5465 30.39308)
430,Point(-79.4304 43.8849)
431,Point(121.6 38.9)
432,Point(116.15861 23.29929)
433,Point(-59.616666666 13.0975)
434,Point(138.621388888 35.222222222)
435,Point(36.291944444 33.513055555)
436,Point(139.412222222 35.853055555)
437,Point(27.983333333 7.7)
438,Point(35.347222222 -23.859722222)
439,Point(34.86 32.332777777)
440,Point(9.066388888 47.033055555)
441,Point(33.983333333 17.716666666)
442,Point(24.364166666 44.429722222)
443,Point(100.466666666 5.363055555)
444,Point(88.42 22.9)
445,Point(9.273611111 45.583611111)
446,Point(-44.107777777 -2.531944444)
447,Point(35.791666666 35.523611111)
448,Point(-8.616666666 41.133333333)
449,Point(17.240833333 40.418055555)
450,Point(-66.65 10.233333333)
451,Point(-3.0 51.583333333)
452,Point(-76.366666666 -6.483333333)
453,Point(-86.266666666 12.15)
454,Point(-5.366666666 35.566666666)
455,Point(27.366111111 44.563888888)
456,Point(126.711388888 35.978611111)
457,Point(88.365736111 23.408822222)
458,Point(-75.525277777 10.423611111)
459,Point(-48.553047222 -27.593280555)
460,Point(-1.549166666 53.799722222)
461,Point(-9.233333333 38.75)
462,Point(28.283333333 -15.416666666)
463,Point(106.718055555 -6.288888888)
464,Point(12.482777777 41.893055555)
465,Point(82.683333333 25.733333333)
466,Point(-76.95 20.966666666)
467,Point(112.333333333 28.583333333)
468,Point(88.35 22.82)
469,Point(114.69229 23.75033)
470,Point(130.841111111 -12.438055555)
471,Point(32.266666666 30.583333333)
472,Point(87.283333333 26.483333333)
473,Point(-82.464722222 27.970833333)
474,Point(105.783333333 15.116666666)
475,Point(49.583333333 54.233333333)
476,Point(118.360472 31.713531)
477,Point(59.966666666 57.916666666)
478,Point(23.728055555 37.984166666)
479,Point(32.581111111 0.313611111)
480,Point(82.58 25.15)
481,Point(-8.610777777 41.149472222)
482,Point(-45.412777777 -23.62)
483,Point(128.681111111 35.228055555)
484,Point(127.662163 34.760689)
485,Point(80.59611 28.70792)
486,Point(139.983055555 36.307222222)
487,Point(117.710833333 39.003333333)
488,Point(108.2 -7.333333333)
489,Point(3.224166666 51.208888888)
490,Point(12.916666666 50.833333333)
491,Point(113.291388888 40.093611111)
492,Point(-46.876388888 -23.511111111)
493,Point(35.615555555 33.969722222)
494,Point(36.817222222 -1.286388888)
495,Point(-79.686 44.39)
496,Point(10.220280555 45.538888888)
